Course_ID,Course_Feature_0,Course_Feature_1,Course_Feature_2,Course_Feature_3,Course_Feature_4,Course_Feature_5,Course_Feature_6,Course_Feature_7,Course_Feature_8,Course_Feature_9,Course_Feature_10,Course_Feature_11,Course_Feature_12,Course_Feature_13,Course_Feature_14,Course_Feature_15
BD0133EN,-0.043805387,0.12573528,-0.0032640481,0.19302255,0.21513987,0.041235927,0.07085295,-0.23881897,0.24809383,0.06580677,0.047430877,0.06887458,-0.050952036,-0.004102464,0.044043276,-0.2072799
LB0107ENv1,0.15802312,-0.03965596,0.14347683,-0.105653524,-0.043251485,-0.16809799,-0.008836989,-0.09547675,-0.09185787,-0.16286935,-0.100622684,0.05414049,-0.11214558,-0.14997014,-0.15494356,0.06647559
ML0122ENv3,-0.2544183,-0.026419446,-0.049926285,-0.0041931802,-0.16384593,-0.021736268,0.21248078,-0.09262033,0.09538642,0.12609854,0.0018837131,-0.21376339,-0.13321334,-0.1740484,0.011764561,0.15377438
SECM03EN,0.088410296,-0.0546044,-0.16752282,-0.1169593,-0.04511992,0.21216045,-0.121347055,0.21711567,0.15678746,-0.20667048,0.026342634,0.008198905,0.032631025,-0.040856656,0.0650483,-0.024004191
TMP0105EN,0.070156276,0.07591826,-0.038703132,-0.1022821,-0.14952916,0.03126465,-0.09707454,-0.03200708,-0.058625232,-0.18616466,0.058013372,-0.18474607,0.24378137,-0.09679963,-0.078572184,0.16669047
BD0151EN,0.23614255,-0.019466378,0.04218252,-0.18895626,0.25620908,0.10005044,-0.08099405,0.09638361,-0.007253931,0.17346926,-0.014384497,-0.043317277,0.13540916,-0.009868531,-0.071265064,-0.008637288
PA0109EN,0.04342645,-0.0104291225,-0.072650164,-0.08324593,0.0569743,-0.022401363,0.041059047,0.0765179,-0.08532706,-0.074193306,0.09286294,0.090226404,0.049710575,-0.11646009,-0.11872584,0.064502075
DJ0101EN,-0.2188629,0.07113397,0.16811965,-0.110048965,0.14775838,-0.05610842,0.04027541,0.022690278,-0.07889904,0.03709581,0.27871445,0.07461704,-0.23285465,-0.023558207,-0.07192626,-0.07800265
CP0101EN,-0.16614139,0.21800321,-0.14453073,-0.27903315,0.24797194,0.117182225,-0.052778993,-0.0607659,-0.12877606,-0.07916913,-0.0053833295,0.0131052425,-0.027509369,-0.104477346,0.2063181,0.045098685
CB0101EN,0.119338706,-0.18270405,0.011605092,-0.027212266,0.07168574,-0.22396182,0.097489096,-0.027042985,-0.010248556,0.10447367,-0.07132678,0.20998071,0.042224217,-0.017249303,-0.11320386,-0.07898766
EE0101EN,-0.0009747761,0.28639162,0.060999356,0.03967601,0.048328992,-0.22353682,-0.12907884,-0.12004898,0.15829118,-0.14076972,0.016303355,-0.101716205,-0.16940008,-0.12439569,0.11959897,0.07570972
CC0210EN,-0.15961976,-0.14140628,-0.108653314,0.026418189,0.040051848,-0.095606565,-0.1806932,-0.051958106,0.15982676,0.22580872,-0.028029077,-0.15398413,-0.030843442,-0.06880501,0.032994952,0.24727547
AI0111EN,-0.07297735,0.11125223,-0.040520623,0.079622045,0.17295218,-0.24891363,0.20416573,0.106436856,-0.1317893,0.0795454,-0.11329722,0.17353125,0.11946769,-0.112788595,-0.08689492,-0.24889266
DW0101EN,0.0027358474,0.05187262,-0.10204107,-0.13717073,0.08567067,0.06286543,0.085310355,-0.06482837,0.2212347,-0.107290074,-0.06772148,0.009165017,0.06492164,0.27943313,0.080367595,-0.16866402
HCC105EN,-0.20534642,0.15801668,0.044046532,-0.1882117,0.05141335,-0.049587935,0.11030288,0.010649143,0.22250219,-0.030460982,0.13561772,0.07554781,0.052175518,-0.02499841,0.15399463,-0.2127327
LB0103ENv1,-0.026151674,-0.024569457,-0.1620206,-0.008969439,-0.25499898,0.11329328,-0.1432954,-0.054034375,-0.09571127,0.026777647,0.0034181445,0.23923813,-0.1450923,-0.12419758,-0.2427758,-0.025567567
SW0101EN,0.043349672,-0.036952067,0.027051408,-0.2174619,-0.24210064,-0.03182706,0.009817362,0.1749075,0.16136247,-0.16847731,0.019991357,-0.002330931,0.09270326,-0.08579474,-0.21282198,0.2292651
DS0201EN,-0.029502785,-0.13819781,-0.002608102,0.07945068,0.09957351,0.073675826,-0.039838687,-0.09047508,0.2933022,-0.022868767,-0.16029127,-0.15762053,0.044277858,0.18646924,-0.07503756,0.047402836
HCC104EN,-0.13676189,0.1626762,0.01991713,0.08709926,0.03537318,-0.06897988,0.21240762,0.1726511,0.02806988,-0.034003664,-0.2691847,0.045694288,-0.19446574,-0.20793267,-0.10049271,0.01874452
SW0201EN,-0.12501644,0.19330646,0.212964,0.07683741,0.2038185,-0.11577325,-0.063381515,-0.07600526,-0.015314329,0.14789008,-0.0838812,-0.058539618,0.056514867,0.02903541,-0.047648888,0.11657234
TA0106EN,0.22191335,-0.10791499,-0.0034084783,-0.19861794,-0.0919381,-0.16665293,0.21903889,0.046360657,-0.108156756,0.035416607,0.018965669,-0.12501068,-0.04430623,0.1734192,0.12733892,0.16044535
DE0205EN,0.104618326,0.046074346,-0.16275895,-0.10875351,0.12544218,-0.019304203,0.054877542,0.032490566,-0.21220341,-0.041537326,-0.14347391,-0.036554236,0.1269432,-0.22839181,-0.10650192,-0.004031038
IT0101EN,-0.18372001,-0.14878571,-0.19163454,-0.0018345758,0.18215963,-0.10416489,-0.09653405,0.0047277207,-0.031727616,0.1709129,-0.06615816,0.03704667,0.095068805,-0.06826435,0.10948974,-0.14213951
OS0101EN,-0.07188372,0.021121651,0.05808954,-0.22390375,-0.098525204,-0.04817916,0.12107927,-0.091511734,0.112747215,-0.1627515,-0.060558036,0.016701927,-0.11493398,0.2017009,-0.0727526,-0.01808166
BD0153EN,-0.008902042,-0.070695795,0.1564785,0.07145932,-0.12426713,0.12277793,0.10559624,-0.17948902,-0.20286575,0.12518665,-0.062524974,-0.11262828,0.092278816,0.08561306,0.025930047,-0.108358696
WA0103EN,-0.13903552,-0.036094494,0.08446743,-0.040148944,0.029662909,-0.23316164,-0.2562176,0.047491413,0.011629729,-0.17024373,0.1336417,0.0944573,0.14387326,-0.18668094,0.035026416,-0.20616972
DP0101EN,-0.18765432,-0.075922154,-0.015674517,0.013753799,-0.18056977,-0.11234735,-0.11695137,-0.22805423,-0.0050982893,0.00974215,-0.031967014,-0.18563007,0.2417276,-0.17777306,-0.106750466,-0.04312196
